bhi_id,score,dimension,year
1,55.58,status,2021
2,59.44,status,2021
3,78.06,status,2021
5,38.52,status,2021
6,100,status,2021
7,73.91,status,2021
8,99.43,status,2021
9,99.57,status,2021
10,97.39,status,2021
11,100,status,2021
12,99.79,status,2021
13,54.69,status,2021
14,31.16,status,2021
15,2.18,status,2021
16,99.76,status,2021
17,97.46,status,2021
18,95.99,status,2021
19,0.03,status,2021
20,63.21,status,2021
21,78.12,status,2021
22,0.8,status,2021
23,20.55,status,2021
24,69.8,status,2021
25,99.95,status,2021
26,22.73,status,2021
27,99.97,status,2021
28,99.97,status,2021
29,39.33,status,2021
30,41.18,status,2021
31,18.38,status,2021
32,66.46,status,2021
33,73.68,status,2021
34,52.64,status,2021
35,62.12,status,2021
36,52.75,status,2021
37,45.06,status,2021
38,28.02,status,2021
39,64.28,status,2021
40,100,status,2021
41,27.55,status,2021
42,32.43,status,2021
43,100,status,2021
