region_id,goal,dimension,score
BHI-001,FIS,status,26.1
BHI-002,FIS,status,26
BHI-003,FIS,status,32.7
BHI-005,FIS,status,32.7
BHI-006,FIS,status,32.7
BHI-007,FIS,status,32.7
BHI-008,FIS,status,32.7
BHI-009,FIS,status,32.7
BHI-010,FIS,status,32.7
BHI-011,FIS,status,33
BHI-012,FIS,status,33
BHI-013,FIS,status,33
BHI-014,FIS,status,27.6
BHI-015,FIS,status,28.7
BHI-016,FIS,status,33
BHI-017,FIS,status,28.9
BHI-018,FIS,status,27.6
BHI-019,FIS,status,27.6
BHI-020,FIS,status,27.6
BHI-021,FIS,status,27.6
BHI-022,FIS,status,27.6
BHI-023,FIS,status,27.6
BHI-024,FIS,status,27.7
BHI-025,FIS,status,29.4
BHI-026,FIS,status,27.6
BHI-027,FIS,status,92.9
BHI-028,FIS,status,81.5
BHI-029,FIS,status,27.6
BHI-030,FIS,status,27.6
BHI-031,FIS,status,27.6
BHI-032,FIS,status,27.6
BHI-033,FIS,status,27.6
BHI-034,FIS,status,27.6
BHI-035,FIS,status,27.6
BHI-036,FIS,status,31.3
BHI-037,FIS,status,58
BHI-038,FIS,status,59.1
BHI-039,FIS,status,59.3
BHI-040,FIS,status,59.3
BHI-041,FIS,status,59.3
BHI-042,FIS,status,59.3
BHI-043,FIS,status,28.7
BHI-001,FIS,trend,0.07
BHI-002,FIS,trend,0.07
BHI-003,FIS,trend,0.15
BHI-005,FIS,trend,0.15
BHI-006,FIS,trend,0.15
BHI-007,FIS,trend,0.15
BHI-008,FIS,trend,0.15
BHI-009,FIS,trend,0.15
BHI-010,FIS,trend,0.15
BHI-011,FIS,trend,0.14
BHI-012,FIS,trend,0.14
BHI-013,FIS,trend,0.14
BHI-014,FIS,trend,-0.32
BHI-015,FIS,trend,-0.19
BHI-016,FIS,trend,0.14
BHI-017,FIS,trend,-0.17
BHI-018,FIS,trend,-0.32
BHI-019,FIS,trend,-0.32
BHI-020,FIS,trend,-0.32
BHI-021,FIS,trend,-0.32
BHI-022,FIS,trend,-0.32
BHI-023,FIS,trend,-0.32
BHI-024,FIS,trend,-0.32
BHI-025,FIS,trend,-0.32
BHI-026,FIS,trend,-0.32
BHI-027,FIS,trend,0.01
BHI-028,FIS,trend,-0.07
BHI-029,FIS,trend,-0.32
BHI-030,FIS,trend,-0.32
BHI-031,FIS,trend,-0.32
BHI-032,FIS,trend,-0.32
BHI-033,FIS,trend,-0.32
BHI-034,FIS,trend,-0.32
BHI-035,FIS,trend,-0.32
BHI-036,FIS,trend,-0.29
BHI-037,FIS,trend,-0.02
BHI-038,FIS,trend,-0.01
BHI-039,FIS,trend,-0.01
BHI-040,FIS,trend,-0.01
BHI-041,FIS,trend,-0.01
BHI-042,FIS,trend,-0.01
BHI-043,FIS,trend,-0.31
